dataset,seed,seed_role,column,side,scorer,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,n_unmatched_records,abstained_unmatched,lr_threshold
ECOM,47,diagnostic,k=5,bi-encoder,MEC,0.2934272300469484,0.21256931608133087,426,301,125,115,541,0,0,
ECOM,47,diagnostic,k=5,bi-encoder,LR,0.25477707006369427,0.4195933456561922,314,234,80,227,541,0,0,0.30000000000000004
ECOM,47,diagnostic,k=50,string,MEC,0.4595744680851064,0.13123844731977818,470,254,216,71,541,0,0,
ECOM,47,diagnostic,k=50,string,LR,0.3016759776536313,0.6691312384473198,179,125,54,362,541,0,0,0.20000000000000004
ECOM,47,diagnostic,k=50,bi-encoder,MEC,0.3339805825242718,0.04805914972273567,515,343,172,26,541,0,0,
ECOM,47,diagnostic,k=50,bi-encoder,LR,0.24528301886792453,0.5101663585951941,265,200,65,276,541,0,0,0.25000000000000006
ECOM,48,diagnostic,forced-1:1,string,MEC,0.2555205047318612,0.41404805914972276,317,236,81,224,541,0,0,
ECOM,48,diagnostic,forced-1:1,string,LR,0.3111111111111111,0.0018484288354898336,540,372,168,1,541,0,0,0.3500000000000001
ECOM,48,diagnostic,forced-1:1,bi-encoder,MEC,0.19543973941368079,0.43253234750462105,307,247,60,234,541,0,0,
ECOM,48,diagnostic,forced-1:1,bi-encoder,LR,0.2698706099815157,0.0,541,395,146,0,541,0,0,0.1
ECOM,48,diagnostic,k=5,string,MEC,0.3812785388127854,0.19038817005545286,438,271,167,103,541,0,0,
ECOM,48,diagnostic,k=5,string,LR,0.3812785388127854,0.19038817005545286,438,271,167,103,541,0,0,0.20000000000000004
ECOM,48,diagnostic,k=5,bi-encoder,MEC,0.26904761904761904,0.22365988909426987,420,307,113,121,541,0,0,
ECOM,48,diagnostic,k=5,bi-encoder,LR,0.18545454545454546,0.49168207024029575,275,224,51,266,541,0,0,0.30000000000000004
ECOM,48,diagnostic,k=50,string,MEC,0.46808510638297873,0.13123844731977818,470,250,220,71,541,0,0,
ECOM,48,diagnostic,k=50,string,LR,0.3870967741935484,0.4269870609981516,310,190,120,231,541,0,0,0.15000000000000002
ECOM,48,diagnostic,k=50,bi-encoder,MEC,0.3131115459882583,0.05545286506469501,511,351,160,30,541,0,0,
ECOM,48,diagnostic,k=50,bi-encoder,LR,0.19133574007220217,0.4879852125693161,277,224,53,264,541,0,0,0.20000000000000004
ECOM,49,diagnostic,forced-1:1,string,MEC,0.29310344827586204,0.24953789279112754,406,287,119,135,541,0,0,
ECOM,49,diagnostic,forced-1:1,string,LR,0.2814814814814815,0.0018484288354898336,540,388,152,1,541,0,0,0.3500000000000001
ECOM,49,diagnostic,forced-1:1,bi-encoder,MEC,0.27089337175792505,0.3585951940850277,347,253,94,194,541,0,0,
ECOM,49,diagnostic,forced-1:1,bi-encoder,LR,0.2743589743589744,0.27911275415896486,390,283,107,151,541,0,0,0.5000000000000001
ECOM,49,diagnostic,k=5,string,MEC,0.38752783964365256,0.17005545286506468,449,275,174,92,541,0,0,
ECOM,49,diagnostic,k=5,string,LR,0.3104693140794224,0.4879852125693161,277,191,86,264,541,0,0,0.30000000000000004
ECOM,49,diagnostic,k=5,bi-encoder,MEC,0.3187066974595843,0.19963031423290203,433,295,138,108,541,0,0,
ECOM,49,diagnostic,k=5,bi-encoder,LR,0.26902173913043476,0.3197781885397412,368,269,99,173,541,0,0,0.25000000000000006
